threshold,faucet,reduction,comp,1,2,3,4,5,6,7,8,9,10
18900,7,66,8,0,62,64,64,65,65,64,66,71,65
18900,8,67,8,0,63,64,65,66,66,65,67,72,66
19000,4,63,8,0,61,61,62,62,63,62,62,66,60
19000,5,64,8,0,61,62,62,63,63,62,64,68,62
19000,6,65,8,0,62,63,63,64,64,63,65,69,63
19000,7,66,8,0,62,64,64,65,65,64,66,71,65
19000,8,67,8,0,63,64,65,66,66,65,67,72,66
19100,4,63,8,0,61,61,62,62,63,62,62,66,60
19100,5,64,8,0,61,62,62,63,63,62,64,68,62
19100,6,65,8,0,62,63,63,64,64,63,65,69,63
19100,7,66,8,0,62,64,64,65,65,64,66,71,64
19100,8,67,8,0,63,64,65,66,66,65,67,72,66
19200,4,63,9,0,61,61,62,62,62,62,62,66,60
19200,5,64,8,0,61,62,62,63,63,62,64,68,62
19200,6,65,8,0,62,63,63,64,64,63,65,69,63
19200,7,66,8,0,62,64,64,65,65,64,66,71,64
19200,8,67,8,0,63,64,65,66,66,65,67,72,66
19300,4,63,9,0,60,61,62,62,62,62,62,66,60
19300,5,64,8,0,61,62,62,63,63,62,64,68,62
19300,6,65,8,0,62,63,63,64,64,63,65,69,63
19300,7,66,8,0,62,63,64,65,65,64,66,71,64
19300,8,67,8,0,63,64,65,66,66,65,67,72,66
19400,4,63,9,0,60,61,62,62,62,62,62,66,60
19400,5,64,8,0,61,62,62,63,63,62,64,68,62
19400,6,65,8,0,62,63,63,64,64,63,65,69,63
19400,7,66,8,0,62,63,64,65,65,64,66,71,64
19400,8,67,8,0,63,64,64,66,66,65,67,72,66
19500,4,63,9,0,60,61,62,62,62,62,62,66,60
19500,5,64,8,0,61,62,62,63,63,62,64,68,62
19500,6,65,8,0,62,63,63,64,64,63,65,69,63
19500,7,66,8,0,62,63,64,65,65,64,66,71,64
19500,8,67,8,0,63,64,64,66,66,65,67,72,66
19600,4,63,9,0,60,61,62,62,62,62,62,66,60
19600,5,64,8,0,61,62,62,63,63,62,64,67,61
19600,6,65,8,0,62,63,63,64,64,63,65,69,63
19600,7,66,8,0,62,63,64,65,65,64,66,70,64
19600,8,67,8,0,63,64,64,65,66,65,67,72,66
19700,4,63,9,0,60,61,61,62,62,62,62,66,60
19700,5,64,8,0,61,62,62,63,63,62,63,67,61
19700,6,65,8,0,62,63,63,64,64,63,65,69,63
19700,7,66,8,0,62,63,64,65,65,64,66,70,64
19700,8,67,8,0,63,64,64,65,66,65,67,72,66
19800,4,63,9,0,60,61,61,62,62,62,62,66,60
19800,5,64,8,0,61,62,62,63,63,62,63,67,61
19800,6,65,8,0,62,63,63,64,64,63,65,69,63
19800,7,66,8,0,62,63,64,65,65,64,66,70,64
19800,8,67,8,0,63,64,64,65,66,65,67,72,66
