"bucket","lower_limit","upper_limit","num"
168174,410836.54862,410838.99156,1
173718,424380.20798,424382.65092,1
174361,425951.01840,425953.46134,1
176743,431770.10148,431772.54442,1
178759,436695.06852,436697.51146,1
180536,441036.17290,441038.61584,1
182742,446425.29854,446427.74148,1
190841,466210.66960,466213.11254,1
194270,474587.51086,474589.95380,1
202419,494495.02892,494497.47186,1
214248,523392.56618,523395.00912,1
214839,524836.34372,524838.78666,1
215635,526780.92396,526783.36690,1
216004,527682.36882,527684.81176,1
217131,530435.56220,530438.00514,5
217263,530758.03028,530760.47322,1
217790,532045.45966,532047.90260,1
218579,533972.93932,533975.38226,1
218856,534649.63370,534652.07664,1
219200,535490.00506,535492.44800,1
219591,536445.19460,536447.63754,1
224617,548723.41104,548725.85398,1
226108,552365.83458,552368.27752,1
226633,553648.37808,553650.82102,1
239652,585453.01394,585455.45688,1
240718,588057.18798,588059.63092,1
246621,602477.86280,602480.30574,1
256176,625820.15450,625822.59744,1
279515,682835.93116,682838.37410,1
280082,684221.07814,684223.52108,1
301356,736192.18370,736194.62664,1
301577,736732.07344,736734.51638,1
317907,776625.28364,776627.72658,1
325052,794080.08994,794082.53288,1
333650,815084.48806,815086.93100,1
338815,827702.27316,827704.71610,1
348204,850639.03682,850641.47976,1
348970,852510.32886,852512.77180,1
356281,870370.66320,870373.10614,1
374481,914832.17120,914834.61414,1
378475,924589.27356,924591.71650,1
421221,1029015.18680,1029017.62974,1
424921,1038054.06480,1038056.50774,1
425133,1038571.96808,1038574.41102,4
425151,1038615.94100,1038618.38394,1
425415,1039260.87716,1039263.32010,2
426080,1040885.43226,1040887.87520,1
428501,1046799.79000,1046802.23294,1
432785,1057265.34496,1057267.78790,1
439649,1074033.68512,1074036.12806,1
442242,1080368.22854,1080370.67148,1
469071,1145909.86580,1145912.30874,1
469863,1147844.67428,1147847.11722,1
534990,1306946.02766,1306948.47060,1
617845,1509355.82136,1509358.26430,1
735632,1797102.39514,1797104.83808,1
768416,1877191.74010,1877194.18304,1
844256,2062464.30970,2062466.75264,1
876548,2141351.72818,2141354.17112,1
900832,2200676.08314,2200678.52608,1
942042,2301349.64054,2301352.08348,1
999408,2441491.33658,2441493.77952,1
1769085,4321766.06696,4321768.50990,1
